205,1118,9,6.10352e-05
206,1119,0,0.00012207
207,1119,1,9.15527e-05
208,1119,2,6.10352e-05
209,1119,3,9.15527e-05
210,1119,4,0.000183105
211,1119,5,0.00012207
212,1119,6,0.000183105
213,1119,7,0.00012207
214,1119,8,0.00012207
215,1119,9,3.05176e-05
216,1120,0,0.00012207
217,1120,1,0.0
218,1120,2,0.000244141
219,1120,3,6.10352e-05
220,1120,4,6.10352e-05
221,1120,5,0.00012207
222,1120,6,3.05176e-05
223,1120,7,0.000335693
224,1120,8,0.00012207
225,1120,9,9.15527e-05
226,1121,0,0.00012207
227,1121,1,6.10352e-05
228,1121,2,0.000274658
229,1121,3,6.10352e-05
230,1121,4,0.00012207
231,1121,5,0.000152588
232,1121,6,0.000183105
233,1121,7,0.000152588
234,1121,8,9.15527e-05
235,1121,9,0.000274658
236,1122,0,0.000183105
237,1122,1,9.15527e-05
238,1122,2,0.00012207
239,1122,3,0.00012207
240,1122,4,9.15527e-05
241,1122,5,0.000152588
242,1122,6,0.00012207
243,1122,7,9.15527e-05
244,1122,8,0.00012207
245,1122,9,3.05176e-05
246,1123,0,0.000152588
247,1123,1,3.05176e-05
248,1123,2,0.00012207
249,1123,3,0.000244141
250,1123,4,9.15527e-05
251,1123,5,6.10352e-05
252,1123,6,9.15527e-05
253,1123,7,0.00012207
254,1123,8,9.15527e-05
255,1123,9,0.0
256,1124,0,0.00012207
257,1124,1,3.05176e-05
258,1124,2,0.000183105
259,1124,3,9.15527e-05
260,1124,4,0.00012207
261,1124,5,9.15527e-05
262,1124,6,0.00012207
263,1124,7,0.00012207
264,1124,8,6.10352e-05
265,1124,9,0.000152588
266,1125,0,-0.00012207
267,1125,1,0.000335693
268,1125,2,0.000213623
269,1125,3,0.000244141
270,1125,4,6.10352e-05
271,1125,5,6.10352e-05
272,1125,6,0.00012207
273,1125,7,0.0
274,1125,8,6.10352e-05
275,1125,9,6.10352e-05
276,1126,0,3.05176e-05
277,1126,1,0.000244141
278,1126,2,0.000213623
279,1126,3,9.15527e-05
280,1126,4,6.10352e-05
281,1126,5,9.15527e-05
282,1126,6,0.0
283,1126,7,6.10352e-05
284,1126,8,0.000183105
285,1126,9,0.000274658
286,1127,0,9.15527e-05
287,1127,1,6.10352e-05
288,1127,2,0.000152588
289,1127,3,0.000183105
290,1127,4,0.000183105
291,1127,5,9.15527e-05
292,1127,6,0.00012207
293,1127,7,0.000183105
294,1127,8,6.10352e-05
295,1127,9,6.10352e-05
296,1128,0,0.00012207
297,1128,1,0.000152588
298,1128,2,9.15527e-05
299,1128,3,6.10352e-05
300,1128,4,0.000152588
301,1128,5,6.10352e-05
302,1128,6,0.000152588
303,1128,7,0.00012207
304,1128,8,0.000183105
305,1128,9,0.000183105
306,1129,0,0.00012207
307,1129,1,9.15527e-05
308,1129,2,6.10352e-05
309,1129,3,9.15527e-05
310,1129,4,0.000152588
311,1129,5,3.05176e-05
312,1129,6,0.000274658
313,1129,7,0.00012207
314,1129,8,9.15527e-05
315,1129,9,0.00012207
316,1130,0,9.15527e-05
317,1130,1,0.000244141
318,1130,2,0.000152588
319,1130,3,-6.10352e-05
320,1130,4,0.00012207
321,1130,5,9.15527e-05
322,1130,6,0.00012207
323,1130,7,0.000152588
324,1130,8,0.00012207
325,1130,9,6.10352e-05
326,1131,0,0.000152588
327,1131,1,6.10352e-05
328,1131,2,0.000152588
329,1131,3,9.15527e-05
330,1131,4,0.00012207
331,1131,5,6.10352e-05
332,1131,6,0.000183105
333,1131,7,0.000152588
334,1131,8,3.05176e-05
335,1131,9,0.000152588
336,1132,0,0.00012207
337,1132,1,9.15527e-05
338,1132,2,0.00012207
339,1132,3,0.000183105
340,1132,4,0.00012207
341,1132,5,0.000244141
342,1132,6,9.15527e-05
343,1132,7,0.000244141
344,1132,8,0.000183105
345,1132,9,0.000366211
346,1133,0,9.15527e-05
347,1133,1,0.000274658
348,1133,2,6.10352e-05
349,1133,3,-6.10352e-05
350,1133,4,0.00012207
351,1133,5,3.05176e-05
352,1133,6,0.000152588
353,1133,7,0.000183105
354,1133,8,0.00012207
355,1133,9,0.000183105
356,1134,0,0.000213623
357,1134,1,0.000183105
358,1134,2,0.00012207
359,1134,3,0.000183105
360,1134,4,0.000244141
361,1134,5,0.000152588
362,1134,6,0.000152588
363,1134,7,0.000274658
