,time,x,y,theta
739,7.39,1948.655,-344.96675,1.80444320564
740,7.4,1949.52,-339.1808,1.81005780405
741,7.41,1950.345,-333.2476,1.81566242394
742,7.42,1950.9,-327.34255,1.82125466776
743,7.43,1951.295,-321.31505,1.82714805362
744,7.44,1951.675,-315.25825,1.8333889786
745,7.45,1951.89,-309.21545,1.83932460009
746,7.46,1952.06,-303.0556,1.84522364574
747,7.47,1952.24,-296.914,1.85099828982
748,7.48,1952.375,-290.71855,1.85669378268
749,7.49,1952.38,-284.322265,1.86289233589
750,7.5,1952.605,-278.085575,1.86793405197
751,7.51,1952.57,-271.84824,1.87370063417
752,7.52,1952.43,-265.72095,1.87913820035
753,7.53,1952.195,-259.4458,1.88478598432
754,7.54,1952.045,-253.0823,1.89029514875
755,7.55,1951.93,-246.78185,1.89592447212
756,7.56,1951.855,-240.49395,1.90140859777
757,7.57,1951.68,-234.0701,1.90707187003
758,7.58,1951.505,-227.52915,1.91233775611
759,7.59,1951.37,-220.938,1.91803283722
760,7.6,1951.38,-214.38735,1.92301812471
761,7.61,1951.22,-207.8723,1.92842485018
762,7.62,1950.945,-201.4733,1.93352416865
763,7.63,1950.715,-195.1296,1.93901681878
764,7.64,1950.37,-188.7758,1.94429943939
765,7.65,1949.86,-182.3782,1.94946609833
766,7.66,1949.495,-176.103,1.95482075005
767,7.67,1949.175,-169.837,1.96025743057
768,7.68,1948.615,-163.43,1.96584457777
769,7.69,1948.09,-157.1805,1.97100984078
770,7.7,1947.585,-150.8015,1.9765931598
771,7.71,1947.03,-144.428,1.98188616909
772,7.72,1946.48,-137.9765,1.98771048904
773,7.73,1945.935,-131.617,1.99281792724
774,7.74,1945.305,-125.1565,1.99823011749
775,7.75,1944.715,-118.8475,2.00361242627
776,7.76,1943.97,-112.6085,2.00855785283
777,7.77,1943.22,-106.314,2.01424013012
778,7.78,1942.55,-99.9685,2.01922088133
779,7.79,1941.855,-93.577,2.02483604796
780,7.8,1941.195,-87.2765,2.03019718675
781,7.81,1940.57,-80.979,2.03565182266
782,7.82,1939.885,-74.743,2.04117804976
783,7.83,1939.085,-68.7205,2.04679654107
784,7.84,1938.235,-62.5295,2.05243575862
785,7.85,1937.365,-56.289,2.05826509053
786,7.86,1936.43,-49.879,2.06418211882
787,7.87,1935.53,-43.5255,2.07010768985
788,7.88,1934.725,-37.2395,2.07614291248
789,7.89,1933.705,-30.9685,2.08198464495
790,7.9,1932.64,-24.7985,2.08794909398
791,7.91,1931.465,-18.706,2.09406443456
792,7.92,1930.27,-12.633,2.09966706971
793,7.93,1929.05,-6.477,2.10572689977
794,7.94,1927.8,-0.5135,2.11162444781
795,7.95,1926.47,5.5985,2.11739225708
796,7.96,1925.19,11.833,2.12361142747
797,7.97,1923.945,17.8755,2.12953684774
798,7.98,1922.655,23.9065,2.1357970722
799,7.99,1921.29,29.9165,2.14205707638
800,8.0,1919.735,35.8025,2.14820960786
801,8.01,1918.205,41.5425,2.1542356478
802,8.02,1916.51,47.368,2.16045055022
803,8.03,1914.875,53.1565,2.16713456183
804,8.04,1913.04,58.9325,2.17358440913
805,8.05,1911.215,64.753,2.18006300797
806,8.06,1909.385,70.5695,2.18663424382
807,8.07,1907.555,76.34,2.19329523619
808,8.08,1905.575,82.0455,2.19978173153
809,8.09,1903.765,87.741,2.20614307552
810,8.1,1901.805,93.5025,2.2130416749
811,8.11,1899.715,99.0445,2.21902014156
812,8.12,1897.59,104.64,2.22519183382
813,8.13,1895.41,110.1445,2.2316671222
814,8.14,1893.145,115.3665,2.23724037291
815,8.15,1890.855,120.737,2.2435691561
816,8.16,1888.56,126.0645,2.24970025011
817,8.17,1886.245,131.4255,2.25565978498
818,8.18,1883.86,136.6855,2.26172314108
819,8.19,1881.445,141.9145,2.26781123888
820,8.2,1879.12,147.1645,2.27374601122
821,8.21,1876.685,152.494,2.27970332735
822,8.22,1874.225,157.8285,2.28617124469
823,8.23,1872.03,162.8545,2.29188742687
824,8.24,1869.61,168.023,2.29857120754
825,8.25,1866.975,173.0925,2.30473936842
826,8.26,1864.37,178.1095,2.310965685
827,8.27,1861.63,183.28645,2.3175704804
828,8.28,1858.915,188.339,2.32389968191
829,8.29,1856.175,193.577,2.33069169553
830,8.3,1853.42,198.74485,2.33739642914
831,8.31,1850.65,203.7942,2.34418604115
832,8.32,1847.815,208.76275,2.35078972598
833,8.33,1844.845,213.80985,2.35728292807
834,8.34,1841.74,218.77245,2.3637482988
835,8.35,1838.7,223.62695,2.37019906877
836,8.36,1835.565,228.3322,2.37643710942
837,8.37,1832.345,232.971,2.38251517456
838,8.38,1829.015,237.6773,2.389197863
839,8.39,1825.685,242.4249,2.39554903115
840,8.4,1822.41,247.2833,2.40266131677
841,8.41,1819.08,251.884,2.4089756978
842,8.42,1815.715,256.37395,2.41532706303
843,8.43,1812.435,261.1486,2.42179709257
844,8.44,1809.055,265.811645,2.42848990246
845,8.45,1805.805,270.4113045,2.43466558053
846,8.46,1802.495,275.1734,2.44136277501
847,8.47,1799.21,279.7053,2.44769648603
848,8.48,1795.85,284.2953,2.45418627148
849,8.49,1792.47,288.6158,2.4606880057
850,8.5,1789.145,292.9695,2.46733746687
851,8.51,1785.54,297.52395,2.47425415719
852,8.52,1781.86,302.0126,2.48107929602
853,8.53,1778.355,306.4165,2.48769329394
854,8.54,1774.86,310.8811,2.49457205417
855,8.55,1771.22,315.33,2.50150746819
856,8.56,1767.55,319.7615,2.5087122209
857,8.57,1763.915,324.14535,2.51565433303
858,8.58,1760.12,328.63285,2.52259174618
859,8.59,1756.235,333.2442,2.52950440862
860,8.6,1752.42,337.8123,2.53618635948
861,8.61,1748.465,342.28835,2.54261675608
862,8.62,1744.375,346.6942,2.54919963386
863,8.63,1740.325,351.0736,2.55572051097
864,8.64,1736.215,355.4605,2.56238404525
865,8.65,1732.13,359.831,2.56889961225
866,8.66,1727.945,364.218,2.57565468471
867,8.67,1723.8,368.6755,2.5825085517
868,8.68,1719.63,373.0325,2.58912419147
869,8.69,1715.46,377.4225,2.59595870238
870,8.7,1711.185,381.9235,2.60283242116
871,8.71,1706.935,386.294,2.60991837236
872,8.72,1702.655,390.659,2.61673324989
873,8.73,1698.17,395.169,2.62348315273
874,8.74,1693.85,399.687,2.63073674155
875,8.75,1689.525,404.086,2.63751036717
876,8.76,1685.0,408.5355,2.64444308711
877,8.77,1680.42,413.0555,2.65128914376
878,8.78,1676.005,417.3905,2.65796352428
879,8.79,1671.46,421.677,2.66489773354
880,8.8,1666.83,425.943,2.671132473
881,8.81,1662.31,430.427,2.67816320662
882,8.82,1657.775,434.6795,2.68439978598
883,8.83,1653.285,438.954,2.69112319744
884,8.84,1648.83,443.608,2.69855983703
885,8.85,1644.285,447.888,2.70519587829
886,8.86,1639.735,452.0015,2.71171691576
887,8.87,1635.12,456.1425,2.71822313493
888,8.88,1630.46,460.4385,2.72477745292
889,8.89,1625.84,464.523,2.73112662963
890,8.9,1621.14,468.643,2.73716489836
891,8.91,1616.435,472.764,2.74295157081
892,8.92,1611.79,476.9555,2.74907068204
893,8.93,1607.085,481.2215,2.75502829962
894,8.94,1602.32,485.312,2.76040899332
895,8.95,1597.64,489.2965,2.76621097152
896,8.96,1592.81,493.3305,2.77168799001
897,8.97,1587.96,497.49,2.77739885414
898,8.98,1583.155,501.5055,2.78331354957
899,8.99,1578.305,505.6,2.78865257255
900,9.0,1573.35,509.484,2.79391849013
901,9.01,1568.43,513.32,2.7988370559
902,9.02,1563.495,517.0215,2.80354580064
903,9.03,1558.75,520.554,2.80802571536
904,9.04,1552.77,523.292,2.81028883803
905,9.05,1549.745,529.059,2.82011748144
906,9.06,1542.715,529.959,2.81819355755
907,9.07,1540.325,536.582,2.83052591147
908,9.08,1535.63,540.2955,2.83560872528
909,9.09,1531.015,543.9455,2.84096423407
910,9.1,1526.54,547.4085,2.84627905151
911,9.11,1521.97,550.8325,2.8513628317
912,9.12,1517.475,554.418,2.85692622136
913,9.13,1513.13,557.845,2.86213630881
914,9.14,1508.78,561.1595,2.86762704453
915,9.15,1504.405,564.5745,2.87281200909
916,9.16,1499.93,567.93,2.87805256066
917,9.17,1496.05,571.9525,2.88460855959
918,9.18,1491.52,575.041,2.88923561316
919,9.19,1486.985,578.347,2.89400077151
920,9.2,1482.58,581.823,2.89959115773
921,9.21,1478.215,585.1945,2.90450813349
922,9.22,1473.7,588.494,2.90979379445
923,9.23,1469.015,591.8625,2.91494403003
924,9.24,1464.37,595.299,2.91977248801
925,9.25,1459.81,598.6045,2.92510194924
926,9.26,1455.09,602.0485,2.93019059628
927,9.27,1450.325,605.503,2.93534565582
928,9.28,1445.575,608.7625,2.94029825752
929,9.29,1440.865,612.029,2.94548953443
930,9.3,1435.925,615.4005,2.95050121338
931,9.31,1430.91,618.9,2.95578955914
932,9.32,1426.115,622.1995,2.96067334608
933,9.33,1421.21,625.6315,2.96580378477
